podskupina_kategorie;počet zaměstnanců;medián;1. decil;1. kvartil;3. kvartil;9. decil;průměr;odměny;příplatky;náhrady;placená doba;;;;;;;;;
 33436 Odborní pracovníci  zahr. vztahů a služeb, vnitřních věcí státu a reg. rozvoje;3,0;42 769;30 315;36 234;54 502;65 749;45 980;6,1;17,8;9,3;171,0;;;;;;;;;
 33437 Odborní pracovníci v oblasti správy školství, kultury a zdravotnictví;1,5;41 350;32 263;36 658;47 450;56 876;43 464;10,6;15,9;7,1;174,0;;;;;;;;;
3351 Pracovníci Celní správy ČR;3,2;55 125;41 348;47 813;61 576;68 430;55 091;5,6;15,8;9,9;164,1;;;;;;;;;
3352 Pracovníci veřejné správy v oblasti daní;10,1;40 679;34 060;37 244;45 641;52 429;42 111;2,6;20,1;7,5;173,3;;;;;;;;;
3353 Pracovníci veřejné správy v oblasti sociálních a jiných dávek;8,1;37 581;31 607;34 509;41 729;47 941;38 937;8,2;11,5;5,5;174,3;;;;;;;;;
3354 Pracovníci veřejné správy vydávající různá povolení ;1,6;41 668;34 278;37 631;46 987;52 970;42 936;7,8;17,4;7,4;173,7;;;;;;;;;
3355 Policejní inspektoři, komisaři a radové Policie ČR;37,3;56 600;40 324;47 541;66 175;76 285;58 009;2,6;21,2;12,2;167,2;;;;;;;;;
 33551 Inspektoři Policie ČR;16,7;47 277;35 544;41 236;54 446;62 439;48 609;1,8;19,7;12,5;167,7;;;;;;;;;
 33552 Vrchní inspektoři Policie ČR;8,6;58 779;48 760;53 231;64 715;71 321;59 677;2,1;20,8;12,1;166,5;;;;;;;;;
 33553 Komisaři Policie ČR;6,0;63 160;52 568;57 362;68 791;74 680;63 643;2,3;22,0;11,9;167,2;;;;;;;;;
 33554 Vrchní komisaři Policie ČR;4,4;70 102;57 343;63 470;77 907;87 317;71 464;3,5;22,5;12,3;166,7;;;;;;;;;
 33555 Radové Policie ČR;1,6;83 837;68 522;75 315;99 809;117 450;89 254;6,9;26,4;11,2;166,5;;;;;;;;;
